early,later
3C,171206,171207
4B,171213,180104
4D,171214,171219
3F,180105,180109
4E,180110,180111
1B,180119,180213
2A,180123,190207
3A,180129,180130
4A,180205,180206
1C,180208,180212
2E,180222,190207
1A,180226,180227
2B,180305,180306
3B,180308,180312
2D,180313,180319
3E,180320,180326
4F,180329,180402
2C,180409,180410
3D,180412,180416
4C,180417,180419
8B,180426,180430
5B,180514,180529
5D,180612,180618
4G,180619,180723
4H,180724,180730
5A,180731,180807
5E,180813,180820
5J,180904,180910
5C,181001,181002
5G,181008,181009
5H,181015,181016
6B,181022,181023
5F,181218,181220
6A,190108,190117
7B,190110,190115
6C,190122,190124
6D,190131,190205
9H,190212,190219
9J,190212,190219
11E,190214,190305
11F,190214,190305
11B,190314,190325
12B,190314,190325
9B,190326,190404
9D,190326,190404
10C,190411,190418
9A,190411,190418
10A,190423,190523
10G,190423,190523
11C,190530,190620
9C,190530,190620
10E,190625,190627
10F,190625,190627
7G,190702,190709
8E,190711,190716
8J,190711,190716
6E,190718,190723
8F,190718,190723
10B,190725,190730
13A,190725,190730
12A,191008,191017
7A,191008,191017
11D,191024,191031
12D,191024,191031
11A,191107,191114
8A,191107,191114
7C,191205,191212
8C,191205,191212
7J,200305,200520
9L,200305,200520
6H,200312,200319
8K,200312,200319
8D,20200707,200709
9E,20200707,200709
6G,200714,20200721
7D,200714,20200721
6F,200723,200728
7F,200723,200728
11H,200730,200813
12H,200730,200813
12E,200820,200827
7H,200820,200827
8H,200903,200910
9G,200903,200910
13D,200917,200924
14C,200917,200924
8L,201001,201008
9F,201001,201008
11K,201015,201022
12C,201015,201022
7E,201029,201105
8G,201029,201105
9Ka,201112,201119
9Kb,201112,201119
10D,201203,201210
13B,201203,201210
14B,201217,210107
18A,201217,210107
10H,210114,210121
10J,210114,210121
11G,210128,210204
11J,210128,210204
12F,210211,210218
12G,210211,210218
12J,210225,210304
13C,210225,210304
13E,210311,210318
13F,210311,210318
14A,210325,210401
14D,210325,210401
15C,210408,210415
16C,210408,210415
17B,210422,210429
18B,210422,210429
15B,210805,210810
16A,210805,210812
17A,210810,210812
